tBJD,HJD,fits,dMag
1833.84829104762,2458833.848291048,2019-12-16T08:21:32.347,1.1923355390808663
1833.8885680871851,2458833.888568087,2019-12-16T09:19:32.283,1.1773777652361896
1833.9274562612613,2458833.927456261,2019-12-16T10:15:32.221,1.1619616177072445
1833.9677332957035,2458833.9677332956,2019-12-16T11:13:32.157,1.1704384249412336
1834.0066214646572,2458834.0066214646,2019-12-16T12:09:32.095,1.1551226568754747
1834.0455096312826,2458834.0455096313,2019-12-16T13:05:32.032,1.1476273842592777
1834.0843977951142,2458834.084397795,2019-12-16T14:01:31.970,1.1480806686975777
1834.1232859570832,2458834.123285957,2019-12-16T14:57:31.907,1.1680807396568025
1834.162174116258,2458834.1621741164,2019-12-16T15:53:31.844,1.1627035538823733
1834.2010622735695,2458834.2010622737,2019-12-16T16:49:31.780,1.1374026111039197
1834.239950428088,2458834.2399504283,2019-12-16T17:45:31.717,1.1545293338443718
1834.2788385802778,2458834.2788385805,2019-12-16T18:41:31.653,1.1635179718159612
1834.3163378679105,2458834.316337868,2019-12-16T19:35:31.592,1.1427081821685978
1834.3205044555284,2458834.3205044554,2019-12-16T19:41:31.585,1.1354773870095431
1834.3593926025962,2458834.3593926025,2019-12-16T20:37:31.521,1.1467218651836628
1834.3955030233435,2458834.395503023,2019-12-16T21:29:31.461,1.1653471021543294
1834.4357800284492,2458834.4357800283,2019-12-16T22:27:31.394,1.16079088581538
1834.4746681689976,2458834.474668169,2019-12-16T23:23:31.330,1.176893318218981
1834.5135563072176,2458834.513556307,2019-12-17T00:19:31.265,1.1827858832985103
1834.552444443109,2458834.552444443,2019-12-17T01:15:31.200,1.1629252037285618
1834.5927214384355,2458834.5927214385,2019-12-17T02:13:31.132,1.141468976527722
1834.632998431434,2458834.6329984316,2019-12-17T03:11:31.064,1.1463206283243637
1834.6704976985777,2458834.6704976987,2019-12-17T04:05:31.001,1.1530000490932422
1834.7093858251565,2458834.7093858253,2019-12-17T05:01:30.935,1.1411483492606114
1834.7121635482172,2458834.712163548,2019-12-17T05:05:30.931,1.1401778409170995
1834.7496628107042,2458834.749662811,2019-12-17T05:59:30.867,1.1431280466318963
1834.787162070863,2458834.787162071,2019-12-17T06:53:30.803,1.1397213564206912
1834.827439051754,2458834.8274390516,2019-12-17T07:51:30.734,1.157176302871211
1834.8663271690195,2458834.866327169,2019-12-17T08:47:30.667,1.1613280157450792
1834.9052152839567,2458834.905215284,2019-12-17T09:43:30.601,1.1539712537547806
1834.9441033965654,2458834.9441033965,2019-12-17T10:39:30.533,1.1523086041819284
1834.9829915068458,2458834.982991507,2019-12-17T11:35:30.466,1.1721433951494826
1835.0218796147979,2458835.021879615,2019-12-17T12:31:30.399,1.17476668274399
1835.063545442552,2458835.0635454427,2019-12-17T13:31:30.326,1.1525941989073298
1835.101044685015,2458835.101044685,2019-12-17T14:25:30.261,1.1518568101690718
1835.1427105071812,2458835.1427105074,2019-12-17T15:25:30.188,1.1384762190821756
1835.1802097454538,2458835.1802097457,2019-12-17T16:19:30.122,1.1453127396503402
1835.2204867021305,2458835.220486702,2019-12-17T17:17:30.051,1.1504556990032568
1835.2579859357465,2458835.2579859355,2019-12-17T18:11:29.985,1.152202494915275
