tBJD,HJD,fits
1827.283094218602,2458827.2830942185,2019-12-09T18:47:39.340
1827.319204946219,2458827.319204946,2019-12-09T19:39:39.307
1827.3594822959135,2458827.359482296,2019-12-09T20:37:39.270
1827.3997596451422,2458827.399759645,2019-12-09T21:35:39.233
1827.4400369939044,2458827.440036994,2019-12-09T22:33:39.196
1827.478925468332,2458827.4789254684,2019-12-09T23:29:39.160
1827.515036194553,2458827.5150361946,2019-12-10T00:21:39.127
1827.5553135433152,2458827.5553135434,2019-12-10T01:19:39.090
1827.5942020186735,2458827.594202019,2019-12-10T02:15:39.054
1827.6330904940316,2458827.633090494,2019-12-10T03:11:39.019
1827.6733678446572,2458827.6733678444,2019-12-10T04:09:38.982
1827.7108674480082,2458827.710867448,2019-12-10T05:03:38.947
1827.7511448014275,2458827.7511448013,2019-12-10T06:01:38.911
1827.7900332819077,2458827.790033282,2019-12-10T06:57:38.876
1827.8289217651832,2458827.828921765,2019-12-10T07:53:38.841
1827.8678102512508,2458827.867810251,2019-12-10T08:49:38.806
1827.9080876149155,2458827.908087615,2019-12-10T09:47:38.770
1827.9455872327014,2458827.9455872327,2019-12-10T10:41:38.737
1827.9844757299456,2458827.98447573,2019-12-10T11:37:38.703
1828.966413222526,2458828.9664132227,2019-12-11T11:11:38.102
1829.0011352164374,2458829.0011352166,2019-12-11T12:01:38.083
1829.0414127207314,2458829.041412721,2019-12-11T12:59:38.059
1829.0803013367195,2458829.080301337,2019-12-11T13:55:38.036
1829.1191899443252,2458829.119189944,2019-12-11T14:51:38.011
1829.1608563006043,2458829.1608563005,2019-12-11T15:51:37.984
1829.198356013385,2458829.1983560133,2019-12-11T16:45:37.960
1829.2386334743733,2458829.2386334743,2019-12-11T17:43:37.932
1829.2761331722522,2458829.276133172,2019-12-11T18:37:37.906
1829.3150217407433,2458829.3150217407,2019-12-11T19:33:37.878
1829.3539103022488,2458829.3539103023,2019-12-11T20:29:37.850
1829.3914099796402,2458829.3914099797,2019-12-11T21:23:37.822
1829.4330762809702,2458829.433076281,2019-12-11T22:23:37.791
1829.470575945788,2458829.470575946,2019-12-11T23:17:37.762
1829.5122422336153,2458829.512242234,2019-12-12T00:17:37.729
1829.5511307625247,2458829.5511307623,2019-12-12T01:13:37.698
1829.588630409647,2458829.5886304094,2019-12-12T02:07:37.667
1829.627518926915,2458829.6275189267,2019-12-12T03:03:37.635
1829.6677963143284,2458829.667796314,2019-12-12T04:01:37.602
1829.7052959456187,2458829.7052959455,2019-12-12T04:55:37.570
1829.7455733218562,2458829.745573322,2019-12-12T05:53:37.535
1829.7844618177037,2458829.7844618177,2019-12-12T06:49:37.501
1829.823350308894,2458829.823350309,2019-12-12T07:45:37.467
1829.8608499206266,2458829.8608499207,2019-12-12T08:39:37.433
1829.901127276375,2458829.9011272765,2019-12-12T09:37:37.397
1829.9414046274674,2458829.9414046276,2019-12-12T10:35:37.360
1829.9775153513592,2458829.9775153515,2019-12-12T11:27:37.326
1829.9816819729704,2458829.9816819727,2019-12-12T11:33:37.322
1830.0580700297937,2458830.0580700296,2019-12-12T13:23:37.251
1830.096958488854,2458830.0969584887,2019-12-12T14:19:37.213
1830.135846943257,2458830.135846943,2019-12-12T15:15:37.176
1830.1747353939363,2458830.174735394,2019-12-12T16:11:37.138
1830.253901155194,2458830.253901155,2019-12-12T18:05:37.060
1830.2927895937646,2458830.292789594,2019-12-12T19:01:37.021
1830.3316780276791,2458830.3316780278,2019-12-12T19:57:36.982
1830.3705664583345,2458830.3705664584,2019-12-12T20:53:36.942
1830.4080660127906,2458830.408066013,2019-12-12T21:47:36.904
1830.4108437572718,2458830.4108437574,2019-12-12T21:51:36.901
1830.4483433080031,2458830.448343308,2019-12-12T22:45:36.862
1830.4886205994899,2458830.4886205993,2019-12-12T23:43:36.820
1830.5275090152431,2458830.527509015,2019-12-13T00:39:36.779
1830.5663974268068,2458830.5663974266,2019-12-13T01:35:36.738
1830.6038969635674,2458830.6038969634,2019-12-13T02:29:36.698
1830.6441742401537,2458830.64417424,2019-12-13T03:27:36.654
1830.681673770396,2458830.6816737703,2019-12-13T04:21:36.614
1830.7219510399964,2458830.72195104,2019-12-13T05:19:36.570
1830.762228305407,2458830.7622283055,2019-12-13T06:17:36.526
1830.8011166969468,2458830.801116697,2019-12-13T07:13:36.483
1830.8386162136835,2458830.8386162138,2019-12-13T08:07:36.441
1830.8788934693148,2458830.8788934695,2019-12-13T09:05:36.396
1830.919170721221,2458830.9191707214,2019-12-13T10:03:36.350
1830.9566702286459,2458830.956670229,2019-12-13T10:57:36.308
1830.9955586034212,2458830.995558603,2019-12-13T11:53:36.263
1831.0358358450828,2458831.035835845,2019-12-13T12:51:36.217
1831.0733353431938,2458831.073335343,2019-12-13T13:45:36.174
1831.1122237086565,2458831.1122237085,2019-12-13T14:41:36.128
1831.152500941005,2458831.152500941,2019-12-13T15:39:36.081
1831.1927781700929,2458831.19277817,2019-12-13T16:37:36.034
1831.2302776560973,2458831.230277656,2019-12-13T17:31:35.989
1831.2677771393073,2458831.2677771393,2019-12-13T18:25:35.945
1831.3080543590827,2458831.308054359,2019-12-13T19:23:35.897
1831.346942705919,2458831.346942706,2019-12-13T20:19:35.850
1831.3886087888536,2458831.388608789,2019-12-13T21:19:35.799
1831.4274971296363,2458831.4274971294,2019-12-13T22:15:35.752
1831.4649965984113,2458831.464996598,2019-12-13T23:09:35.706
1831.5052738028198,2458831.5052738027,2019-12-14T00:07:35.657
1831.5441621347545,2458831.5441621346,2019-12-14T01:03:35.608
1831.5830504638952,2458831.583050464,2019-12-14T01:59:35.560
1831.6219387902424,2458831.62193879,2019-12-14T02:55:35.511
1831.6594382450476,2458831.659438245,2019-12-14T03:49:35.464
1831.6997154340893,2458831.699715434,2019-12-14T04:47:35.414
1831.7399926203366,2458831.7399926204,2019-12-14T05:45:35.362
1831.7802698037906,2458831.780269804,2019-12-14T06:43:35.311
1831.8177692474192,2458831.8177692476,2019-12-14T07:37:35.263
1831.856657557002,2458831.856657557,2019-12-14T08:33:35.213
1831.8955458633259,2458831.8955458635,2019-12-14T09:29:35.163
